Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451434202,1955.968750,2728.031250,161.908920,1743.414428,2528.381347,128.031250
1451434218,835.067749,2427.428222,-127.968750,749.781677,2544.139648,-127.968750
1451434222,702.710327,2983.538330,-127.968750,842.660156,2459.924072,-127.968750
1451434222,771.522705,2484.188964,-113.968750,723.369140,2980.494384,-127.968750
1451434231,770.033813,3164.703613,128.031250,726.347290,3338.363037,128.031250
1451434239,1864.885986,2687.650878,-127.968750,1955.968750,2755.272460,-18.840856
1451434244,1714.645507,2380.927978,128.031250,1708.937866,2270.445068,169.409240
1451434245,1751.182250,2479.062500,128.031250,1700.256591,2244.466064,128.031250
1451434245,1734.576293,3098.412109,128.031250,1743.129394,2350.744628,128.031250
1451434255,1043.951782,2356.966308,-127.968750,639.333984,2247.845458,-127.968750
1451434261,770.225341,1786.780883,-127.968750,767.067504,1838.188598,-88.439346
1451434264,697.204223,2047.991577,-127.968750,1042.617187,1525.108032,-135.968750
1451434270,1328.558349,2204.892089,-127.968750,1798.201904,2425.271728,-127.968750
1451434272,183.522216,3522.430175,-107.886779,-395.300750,3648.136962,48.425407
1451434288,1850.083129,908.749084,64.031250,1930.107421,1199.240112,64.031250
1451434297,557.387817,1188.458374,237.741897,539.331420,1295.279418,112.246383
1451434300,861.497131,2046.352416,-127.968750,212.647094,1662.411010,64.031250
1451434305,84.707702,2066.550048,-127.968750,73.410957,2325.526855,-127.968750
1451434308,542.569763,2555.078125,-127.968750,159.092193,2577.155273,-127.968750
1451434317,-164.502197,2005.577758,-79.968750,-94.167877,1967.840454,-41.259841
1451434326,52.724010,2481.095947,-127.968750,77.115325,2363.061035,-127.968750
1451434333,-52.746761,1703.026855,-88.221084,-222.675720,1517.413085,-79.968750
1451434334,2282.513427,2278.454589,107.734458,2318.569335,2302.196289,91.906753
1451434341,96.353256,2285.296630,-120.101638,80.330474,2213.793701,-127.968750
1451434349,1765.176025,2576.525634,128.031250,1604.672363,2044.155151,128.016662
1451434363,1335.407226,1762.649414,100.867034,590.267822,1732.434326,-127.968750
1451434369,751.396423,1975.132812,-63.519828,708.463012,2294.754150,-111.293083
1451434380,531.659790,2315.878906,19.041763,639.938781,2651.682373,-127.968750
1451434391,2222.094482,-209.838897,149.671798,1927.695312,22.965387,64.031250
1451434404,1577.174682,2377.888916,128.031250,1767.583496,2318.022460,142.330932
1451434431,1027.453979,2220.424804,172.014770,1093.656616,2430.531738,128.031250
1451434434,1449.647949,2346.221191,442.364776,1517.754760,2485.641113,416.838623
1451434441,1163.221801,1986.713989,197.729705,1103.651611,2330.030761,151.165695
1451434449,1884.399780,2070.761474,384.031250,1893.886474,2245.225585,384.031250
1451434460,1381.249023,2370.387939,-127.968750,1364.386474,2264.814208,-127.968750
1451434461,1504.091918,2094.361083,-127.968750,1354.336791,2281.746826,-127.968750
1451434465,838.411987,3217.793212,128.031250,912.148010,3272.979003,184.351440
